checked,coder,unique_id,expt_num,link,grammatical_class,paper_eligibility,short_cite,data_source,plot_label,expt_condition,dependent_measure,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,transitive_event_type2,patient_argument_type_clean,visual_stimuli_pair,adult_participant,data_source_clean,paradigm_type,publication_year
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1a,transitive_sentence,looking_duration,action,0.058333333,1,English,627.064,NA,28,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,NA,2,NA,8,0.6,0.5,NA,0.169705627,NA,NA,NA,NA,0.589255651,0.146701389,group_means_one,unique_condition,look,noun,1,noun,indirect_caused_action,noun,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1b,agent_first,looking_duration,action,0.036111111,2,English,627.064,NA,28,typically_developing,intransitive,2nouns,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.38,0.5,NA,0.169705627,NA,NA,NA,NA,-0.707106781,0.15625,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1c,patient_first,looking_duration,action,0.047222222,3,English,627.064,NA,28,typically_developing,intransitive,2nouns,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,yes,yes,distributed,2,2,5,2,The boy and the girl are pilking!,NA,1,NA,8,0.57,0.5,NA,0.169705627,NA,NA,NA,NA,0.412478956,0.135633681,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",results_text,Gertner & Fisher (2012) - 1d,transitive_sentence,looking_duration,action,0.03,4,English,940.596,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,NA,1,NA,6,0.56,0.5,NA,0.146969385,NA,NA,NA,NA,0.40824829,0.180555556,group_means_one,unique_condition,look,noun,1,noun,indirect_caused_action,noun,indirect_caused_action_parallel_actions,no,text,action_matching,2012
yes,anjie,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",results_text,Gertner & Fisher (2012) - 1e,agent_first,looking_duration,action,0.05,5,English,940.596,NA,NA,typically_developing,intransitive,2nouns,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",6,0.65,0.5,NA,0.146969385,NA,NA,NA,NA,1.020620726,0.253472222,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,text,action_matching,2012
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2a,transitive_sentence,looking_duration,action,0.026388889,6,English,633.152,NA,29.5,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl is pilking the boy,NA,2,NA,8,0.563888889,0.5,NA,0.169705627,NA,NA,NA,NA,0.376468888,0.133858051,group_means_one,unique_condition,look,noun,1,noun,indirect_caused_action,noun,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2b,agent_first,looking_duration,action,0.019444444,7,English,633.152,NA,29.5,typically_developing,intransitive,2nouns,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl and the boy are pilking!,NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.370833333,0.5,NA,0.169705627,NA,NA,NA,NA,-0.761121883,0.161206658,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2c,patient_first,looking_duration,action,0.031944444,8,English,633.152,NA,29.5,typically_developing,intransitive,2nouns,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The boy and the girl are pilking!,NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.577777778,0.5,NA,0.169705627,NA,NA,NA,NA,0.458309951,0.138128001,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,plot,action_matching,2012
yes,anjie,he2020,1,https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020).",results_text,"He, Huang, Waxman, & Arunachalam (2020) - 1a",wake_condition_visit1,looking_duration,action,NA,9,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,NA,21,0.43,0.5,NA,0.13,NA,NA,NA,NA,-0.538461538,0.054522401,group_means_one,unique_condition,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,text,action_matching,2020
yes,anjie,he2020,1,https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020).",results_text,"He, Huang, Waxman, & Arunachalam (2020) - 1b",nap_condition_visit1,looking_duration,action,NA,10,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,NA,21,0.41,0.5,NA,0.17,NA,NA,NA,NA,-0.529411765,0.054292305,group_means_one,unique_condition,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,text,action_matching,2020
