"","long_cite"
"1","Arunachalam, S., & Waxman, S. R. (2010). Meaning from syntax: Evidence from 2-year-olds. Cognition, 114(3), 442-446."
"2","Arunachalam, S., & Sheline, L. (2013). Verb Learning in Non-social Contexts. S. Baiz, N. Goldman."
"3","Arunachalam, S. (2013). Two-year-olds can begin to acquire verb meanings in socially impoverished contexts. Cognition, 129(3), 569-573."
"4","Arunachalam, S. (2017). Preschoolers' acquisition of novel verbs in the double object dative. Cognitive science, 41, 831-854."
"5","Bavin, E. L., & Growcott, C. (2000). Infants of 24-30 months understand verb frames. In New directions in language development and disorders (pp. 169-177). Springer, Boston, MA."
"6","Bunger, A. & Lidz, J. (2004). Proceedings of the Annual Boston University Conference on Language Development. Cascadilla Press: Cambridge."
"7","Bunger, A., & Lidz, J. (2006). Constrained flexibility in the acquisition of causative verbs. In Proceedings of the Annual Boston University Conference on Language Development (Vol. 30, pp. 60-71)."
"8","Fisher, C. (1996). Structural limits on verb mapping: The role of analogy in children's interpretations of sentences. Cognitive psychology, 31(1), 41-81."
"9","Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64."
"10","Gertner, Y., & Fisher, C. (2006). Predicted errors in early verb learning. In 31st Annual Boston University Conference on Language Development."
"11","Gertner, Y., Fisher, C., & Eisengart, J. (2006). Learning words and rules: Abstract knowledge of word order in early sentence comprehension. Psychological science, 17(8), 684-691."
"12","Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94."
"13","He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020). Two-year-olds consolidate verb meanings during a nap. Cognition, 198, 104205."
"14","Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008). Novel noun and verb learning in Chinese‐, English‐, and Japanese‐speaking children. Child development, 79(4), 979-1000."
"15","Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign)."
"16","Kon, M., Göksun, T., Bagci, A., & Arunachalam, S. (2015). Verb acquisition in English and Turkish: The role of processing. In Online Proceedings of the 40th Annual Boston University Conference on Language Development (BUCLD). Retrieved from http://www. bu. edu/bucld/bucld-40-online-proceedings-supplement."
"17","Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009). When one cue is better than two: Lexical vs. syntactic cues to verb learning. Unpublished manuscript.< http://ling. umd. edu/labs/acquisition/papers/2009/LidzBungerLeddonBaierWaxman2009. pdf."
"18","Messenger, K., Yuan, S., & Fisher, C. (2015). Learning verb syntax via listening: New evidence from 22-month-olds. Language Learning and Development, 11(4), 356-368."
"19","Naigles, Letitia. ""Children use syntax to learn verb meanings."" Journal of child language 17.2 (1990): 357-374."
"20","Naigles, L. G., & Kako, E. T. (1993). First contact in verb acquisition: Defining a role for syntax. Child development, 64(6), 1665-1687."
"21","Naigles, L. R. (1996). The use of multiple frames in verb learning via syntactic bootstrapping. Cognition, 58(2), 221-251."
"22","Naigles, L. R., Kelty, E., Jaffery, R., & Fein, D. (2011). Abstractness and continuity in the syntactic development of young children with autism. Autism Research, 4(6), 422-437."
"23","Oetting, J. B. (1999). Children with SLI use argument structure cues to learn verbs. Journal of Speech, Language, and Hearing Research, 42(5), 1261-1274."
"24","Lucia Pozzan, Lila R. Gleitman & John C. Trueswell (2016) Semantic Ambiguity and Syntactic Bootstrapping: The Case of Conjoined-Subject Intransitive Sentences, Language Learning and Development, 12:1, 14-41, DOI: 10.1080/15475441.2015.1018420"
"25","Rowland, C. F., & Noble, C. L. (2010). The role of syntactic structure in children's sentence comprehension: Evidence from the dative. Language Learning and Development, 7(1), 55-75."
"26","Scott, R. M., & Fisher, C. (2009). Two-year-olds use distributional cues to interpret transitivity-alternating verbs. Language and cognitive processes, 24(6), 777-803."
"27","Scott, K., Chu, J., & Schulz, L. (2017). Lookit (Part 2): Assessing the viability of online developmental research, results from three case studies. Open Mind, 1(1), 15-29."
"28","Valleau, M. J., & Arunachalam, S. (2017). The effects of linguistic context on visual attention while learning novel verbs. In Proceedings of the 41st Annual Boston University Conference on Language Development (pp. 691-705)."
"29","Yuan, S., & Fisher, C. (2009). “Really? She blicked the baby?” Two-year-olds learn combinatorial facts about verbs by listening. Psychological science, 20(5), 619-626."
"30","Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399."
"31","Arunachalam, S., & Dennis, S. (2019). Semantic detail in the developing verb lexicon: An extension of Naigles and Kako (1993). Developmental science, 22(1), e12697."
"32","Arunachalam, S., Escovar, E., Hansen, M. A., & Waxman, S. R. (2013). Out of sight, but not out of mind: 21-month-olds use syntactic information to learn verbs even in the absence of a corresponding event. Language and cognitive processes, 28(4), 417-425."
"33","Kline, M., Snedeker, J., & Schulz, L. (2017). Linking language and events: Spatiotemporal cues drive children’s expectations about the meanings of novel transitive verbs. Language Learning and Development, 13(1), 1-23."
"34","Scott, R., Gertner, Y., & Fisher, C. (2018). Not all subjects are agents: transitivity and meaning in early language comprehension. In K. Syrrett & S. Arunachalam (Eds.), Semantics in language acquisition (pp. 154–176). Philadelphia, PA: John Benjamins."
"35","Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009) “24-Month-Old Infants' Interpretations of Novel Verbs and Nouns in Dynamic Scenes.” Cognitive Psychology, 59:67-95."
