checked?,coder,unique_id,expt_num,link,grammatical_class,paper_eligibility,short_cite,data_source,plot_label,expt_condition,dependent_measure,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SE,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1a,transitive_sentence,looking_duration,action,8,0.6,NA,0.5,0.16970562748477142,NA,0.0583333333333333,NA,NA,NA,no,English,627.064,NA,28,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate-after,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,"NA",2,NA
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1b,agent_first,looking_duration,action,8,0.38,NA,0.5,0.16970562748477142,NA,0.0361111111111111,NA,NA,NA,no,English,627.064,NA,28,typically_developing,intransitive,2nouns,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate-after,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene"
yes,anjie/molly,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 1c,patient_first,looking_duration,action,8,0.5700000000000001,NA,0.5,0.16970562748477142,NA,0.0472222222222222,NA,NA,NA,no,English,627.064,NA,28,typically_developing,intransitive,2nouns,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate-after,yes,yes,distributed,2,2,5,2,The boy and the girl are pilking!,"NA",1,NA
yes,anjie,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",results_text,Gertner & Fisher (2012) - 1d,transitive_sentence,looking_duration,action,6,0.56,NA,0.5,0.14696938456699066,NA,0.03,NA,NA,NA,no,English,940.596,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate-after,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,"NA",1,NA
yes,anjie,gertner2012,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",results_text,Gertner & Fisher (2012) - 1e,agent_first,looking_duration,action,6,0.65,NA,0.5,0.14696938456699066,NA,0.05,NA,NA,NA,no,English,940.596,NA,NA,typically_developing,intransitive,2nouns,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate-after,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene"
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2a,transitive_sentence,looking_duration,action,8,0.5638888888888889,NA,0.5,0.16970562748477142,NA,0.026388888888888892,NA,NA,NA,no,English,633.152,NA,29.5,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl is pilking the boy,"NA",2,NA
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2b,agent_first,looking_duration,action,8,0.37083333333333335,NA,0.5,0.16970562748477142,NA,0.019444444444444448,NA,NA,NA,no,English,633.152,NA,29.5,typically_developing,intransitive,2nouns,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene"
yes,anjie,gertner2012,2,https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,"Gertner, Y., & Fisher, C. (2012)",figure_6,Gertner & Fisher (2012) - 2c,patient_first,looking_duration,action,8,0.5777777777777777,NA,0.5,0.16970562748477142,NA,0.03194444444444445,NA,NA,NA,no,English,633.152,NA,29.5,typically_developing,intransitive,2nouns,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The boy and the girl are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene"
yes,anjie,he2020,1,https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020).",results_text,"He, Huang, Waxman, & Arunachalam (2020) - 1a",wake_condition_visit1,looking_duration,action,21,0.43,NA,0.5,0.13,NA,NA,NA,NA,NA,no,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,NA
yes,anjie,he2020,1,https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020).",results_text,"He, Huang, Waxman, & Arunachalam (2020) - 1b",nap_condition_visit1,looking_duration,action,21,0.41,NA,0.5,0.17,NA,NA,NA,NA,NA,no,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,NA
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78435,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1a,no_bystander_transitive,looking_duration,action,12,0.56,NA,0.5,0.16,NA,NA,NA,NA,NA,no,English,471.82,NA,NA,typically_developing,transitive,pronoun_and_noun,noun,fake_verb,animation_shape,animation,non-person,direct_caused_action,one_action,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78436,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1b,no_bystander_intransitive,looking_duration,action,12,0.6,NA,0.5,0.16,NA,NA,NA,NA,NA,no,English,471.82,NA,NA,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,animation_shape,animation,non-person,direct_caused_action,one_action,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding!,Find kradding!,2,NA
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78437,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1c,no_bystander_transitive_ rep,looking_duration,action,12,0.62,NA,0.5,0.1,NA,NA,NA,NA,NA,no,English,453.556,NA,NA,typically_developing,transitive,pronoun_and_noun,noun,fake_verb,animation_shape,animation,non-person,direct_caused_action,one_action,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78438,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1d,no_bystander_intransitive_rep,looking_duration,action,12,0.49,NA,0.5,0.11,NA,NA,NA,NA,NA,no,English,453.556,NA,NA,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,animation_shape,animation,non-person,direct_caused_action,one_action,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding!,Find kradding!,2,NA
yes,izzy,jin2015,2,https://www.ideals.illinois.edu/handle/2142/78437,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 2a,bystander_transitive,looking_duration,action,12,0.58,NA,0.5,0.18,NA,NA,NA,NA,NA,no,English,471.82,NA,NA,typically_developing,transitive,pronoun_and_noun,noun,fake_verb,animation_shape,animation,non-person,direct_caused_action,parallel_actions,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA
yes,izzy,jin2015,2,https://www.ideals.illinois.edu/handle/2142/78438,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 2b,bystander_intransitive,looking_duration,action,12,0.63,NA,0.5,0.19,NA,NA,NA,NA,NA,no,English,471.82,NA,NA,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,animation_shape,animation,non-person,direct_caused_action,parallel_actions,asynchronous,"NA","NA",mass,1,2,17,2,He's kradding!,Find kradding!,2,NA
