"","x1","coder","unique_id","link","grammatical_class","paper_eligibility","short_cite","data_source","expt_num","plot_label","expt_condition","dependent_measure","test_type","same_infant","language","mean_age","productive_vocab_mean","productive_vocab_median","population_type","sentence_structure","agent_argument_type","patient_argument_type","verb_type","stimuli_type","stimuli_modality","stimuli_actor","transitive_event_type","intransitive_event_type","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","example_target_sentence","test_question","inclusion_certainty","note","n_1","x_1","x_2","x_2_raw","sd_1","sd_2","sd_2_raw","t","d","d_calc","d_var_calc","es_method","unique_infant","test_method","agent_argument_type_clean","agent_argument_number","patient_argument_type_clean","visual_stimuli_pair","adult_participant","data_source_clean","paradigm_type","publication_year"
"1",5,"alana/anjie","bunger2004","https://www.researchgate.net/profile/Jeffrey_Lidz/publication/264875161_Syntactic_Bootstrapping_and_the_Internal_Structure_of_Causative_Events/links/5437f5cd0cf2d5fa292b992b.pdf","verb","include","Bunger, A. & Lidz, J. (2004).","fig_1","1","Bunger & Lidz (2004) - 1a","transitive","looking_duration","action","5","English",740.56,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","minimal_contact","one_action","simultaneous","no","no","distributed",4,1,8,5,"The girl is pimming the ball.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",11,0.472140762463343,0.5,NA,0.032258064516129,0.032258064516129,NA,NA,NA,-0.863636363636367,0.124812171299775,"group_means_one","unique_condition","look","noun","1","noun","minimal_contact_one_action","no","plot","action_matching",2004
"2",6,"alana/anjie","bunger2004","https://www.researchgate.net/profile/Jeffrey_Lidz/publication/264875161_Syntactic_Bootstrapping_and_the_Internal_Structure_of_Causative_Events/links/5437f5cd0cf2d5fa292b992b.pdf","verb","include","Bunger, A. & Lidz, J. (2004).","fig_1","1","Bunger & Lidz (2004) - 1b","unaccusitive_intransitive","looking_duration","action","6","English",740.56,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_person","video","person","minimal_contact","one_action","simultaneous","no","no","distributed",4,1,8,5,"The ball is pimming.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",11,0.591044776119403,0.5,NA,0.026865671641791,0.026865671641791,NA,NA,NA,3.38888888888889,0.612934904601573,"group_means_one","unique_condition","look","noun","1","intransitive","minimal_contact_one_action","no","plot","action_matching",2004
"3",7,"alana/anjie","bunger2006","http://ling.umd.edu/labs/acquisition/papers/BungerLidz2006.pdf","verb","include","Bunger, A., & Lidz, J. (2006)","plot_1","1","Bunger & Lidz (2006) - 1a","transitive","looking_duration","action","7","English",729.12,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","direct_caused_action","parallel_actions","simultaneous","no","no","distributed",4,1,8,5,"The girl is pimming the ball.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",12,0.6,0.5,0.4,0.06,NA,0.03,NA,NA,1.66666666666667,0.199074074074074,"group_means_one","unique_condition","look","noun","1","noun","direct_caused_action_parallel_actions","no","plot","action_matching",2006
"4",8,"anjie","bunger2006","http://ling.umd.edu/labs/acquisition/papers/BungerLidz2006.pdf","verb","include","Bunger, A., & Lidz, J. (2006)","plot_1","1","Bunger & Lidz (2006) - 1b","unaccusitive_intransitive","looking_duration","action","8","English",729.12,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_person","video","person","direct_caused_action","parallel_actions","simultaneous","no","no","distributed",4,1,8,5,"The ball is pimming.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",12,0.52,0.5,0.54,0.07,NA,0.05,NA,NA,0.285714285714286,0.086734693877551,"group_means_one","unique_condition","look","noun","1","intransitive","direct_caused_action_parallel_actions","no","plot","action_matching",2006
"5",9,"anjie","bunger2006","http://ling.umd.edu/labs/acquisition/papers/BungerLidz2006.pdf","verb","include","Bunger, A., & Lidz, J. (2006)","plot_2","2","Bunger & Lidz (2006) - 2a","transitive","looking_duration","action","9","English",728.12,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","direct_caused_action","parallel_actions","simultaneous","no","no","distributed",4,1,8,5,"The girl is pimming the ball.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",12,0.64,0.5,0.450909090909091,0.0690909090909091,0.5,0.0327272727272727,NA,NA,2.02631578947368,0.254414819944598,"group_means_one","unique_condition","look","noun","1","noun","direct_caused_action_parallel_actions","no","plot","action_matching",2006
"6",10,"anjie","bunger2006","http://ling.umd.edu/labs/acquisition/papers/BungerLidz2006.pdf","verb","include","Bunger, A., & Lidz, J. (2006)","plot_2","2","Bunger & Lidz (2006) - 2b","unergative_intransitive","looking_duration","action","10","English",728.12,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_person","video","person","direct_caused_action","parallel_actions","simultaneous","no","no","distributed",4,1,8,5,"The girl is pimming","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",12,0.323636363636364,0.5,0.563636363636364,0.0654545454545454,0.5,0.0327272727272727,NA,NA,-2.69444444444444,0.385834619341563,"group_means_one","unique_condition","look","noun","1","intransitive","direct_caused_action_parallel_actions","no","plot","action_matching",2006
"7",12,"anjie/molly","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","figure_6","1","Gertner & Fisher (2012) - 1b","agent_first","looking_duration","action","12","English",627.064,NA,28,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The girl and the boy are pilking!",NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.381944444444444,0.5,NA,0.0361111111111111,0.0361111111111111,NA,NA,NA,-3.26923076923078,0.792991863905331,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","plot","action_matching",2012
"8",13,"anjie/molly","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","figure_6","1","Gertner & Fisher (2012) - 1c","patient_first","looking_duration","action","13","English",627.064,NA,28,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The boy and the girl are pilking!",NA,1,NA,8,0.565277777777778,0.5,NA,0.0472222222222222,0.0472222222222222,NA,NA,NA,1.38235294117648,0.244431228373703,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","plot","action_matching",2012
"9",14,"anjie","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","results_text","1","Gertner & Fisher (2012) - 1d","transitive_sentence","looking_duration","action","14","English",940.596,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The girl is pilking the boy",NA,1,NA,6,0.56,0.5,NA,0.03,0.03,NA,NA,NA,2,0.500000000000001,"group_means_one","unique_condition","look","noun","1","noun","indirect_caused_action_parallel_actions","no","text","action_matching",2012
"10",15,"anjie","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","results_text","1","Gertner & Fisher (2012) - 1e","agent_first","looking_duration","action","15","English",940.596,NA,NA,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The girl and the boy are pilking!",NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",6,0.65,0.5,NA,0.05,0.05,NA,NA,NA,3,0.916666666666667,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","text","action_matching",2012
