"","x1","coder","unique_id","link","grammatical_class","paper_eligibility","short_cite","data_source","expt_num","expt_condition","dependent_measure","test_type","same_infant","language","mean_age","productive_vocab_mean","productive_vocab_median","population_type","sentence_structure","agent_argument_type","patient_argument_type","verb_type","stimuli_type","stimuli_modality","stimuli_actor","transitive_event_type","intransitive_event_type","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","example_target_sentence","test_question","inclusion_certainty","note","n_1","x_1","x_2","x_2_raw","sd_1","sd_2","sd_2_raw","t","d","d_calc","d_var_calc","es_method","unique_infant","test_method","agent_argument_type_clean","agent_argument_number","patient_argument_type_clean","visual_stimuli_pair","adult_participant","data_source_clean","paradigm_type","publication_year"
"1",7,"anjie","arunachalam2017","https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12368","verb","include","Arunachalam, S. (2017)","fig_3","2","PP_DO_no_delay","point_scene","action","7","English",1582.88,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","video_puppet","video","non_person","AGENT","AGENT","immediate_after","yes","no","distributed",4,1,4,6,"She's gonna meek the block to the turtle","where is she meeking the sheep the pig?",1,"PP and DO;different structure in test and DO; the after delay condition is excluded because only has test phase",20,0.63,0.5,NA,0.0533898305084746,0.0533898305084746,NA,NA,NA,2.43492063492063,0.198220962459058,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","AGENT_AGENT","no","plot","agent_matching",2017
"2",9,"alana/anjie","bunger2004","https://www.researchgate.net/profile/Jeffrey_Lidz/publication/264875161_Syntactic_Bootstrapping_and_the_Internal_Structure_of_Causative_Events/links/5437f5cd0cf2d5fa292b992b.pdf","verb","include","Bunger, A. & Lidz, J. (2004).","fig_1","1","unaccusitive_intransitive","looking_duration","action","9","English",740.56,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_person","video","person","minimal_contact","one_action","simultaneous","no","no","distributed",4,1,8,5,"The ball is pimming.","Oh look, they’re different. Do you see pimming? Do you see pimming? Where’s pimming now?",1,"contrast event",11,0.591044776119403,0.5,NA,0.026865671641791,0.026865671641791,NA,NA,NA,3.38888888888889,0.612934904601573,"group_means_one","unique_condition","look","noun","1","intransitive","minimal_contact_one_action","no","plot","action_matching",2004
"3",24,"anjie/molly","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","figure_6","1","transitive_sentence","looking_duration","action","23","English",627.064,NA,28,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The girl is pilking the boy",NA,2,NA,8,0.6,0.5,NA,0.0583333333333333,0.0583333333333333,NA,NA,NA,1.71428571428571,0.308673469387755,"group_means_one","unique_condition","look","noun","1","noun","indirect_caused_action_parallel_actions","no","plot","action_matching",2012
"4",28,"anjie","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","results_text","informal","agent_first","looking_duration","action","27","English",940.596,NA,NA,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","immediate_after","yes","yes","distributed",2,2,5,2,"The girl and the boy are pilking!",NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",6,0.65,0.5,NA,0.05,0.05,NA,NA,NA,3,0.916666666666667,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","text","action_matching",2012
"5",33,"anjie","he2020","https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C","verb","include","He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020).","results_text","1","nap_condition_visit1","looking_duration","action","32","English",815.792,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","direct_caused_action","parallel_actions","asynchronous","no","no","distributed",4,1,8,2,"They boy is going to moop the lady","Look! Where's mooping? Do you see mooping? Find mooping",2,NA,21,0.41,0.5,NA,0.17,0.17,NA,NA,NA,-0.529411764705882,0.0542923051573571,"group_means_one","unique_condition","look","noun","1","noun","direct_caused_action_parallel_actions","no","text","action_matching",2020
"6",35,"izzy","jin2015","https://www.ideals.illinois.edu/handle/2142/78436","verb","include","Jin, K. S. (2015)","results_text","1","no_bystander_intransitive","looking_duration","action","34","English",471.82,NA,18,"typically_developing","intransitive","noun_and_pronoun",NA,"fake_verb","animation_shape","animation","non_person","direct_caused_action","one_action","asynchronous","no","no","mass",1,2,17,2,"He's kradding!","Find kradding!",2,NA,12,0.6,0.5,NA,0.16,0.16,NA,NA,NA,0.625,0.099609375,"group_means_one","unique_condition","look","varying_agent","varying","intransitive","direct_caused_action_one_action","no","text","action_matching",2015
"7",41,"izzy","jin2015","https://www.ideals.illinois.edu/handle/2142/78440","verb","include","Jin, K. S. (2015)","results_text","3","it_intransitive","looking_duration","action","40","English",578.36,NA,17,"typically_developing","intransitive","noun_and_pronoun",NA,"fake_verb","animation_shape","animation","non_person","direct_caused_action","parallel_actions","asynchronous","no","no","mass",1,3,13,3,"The cat lorped!","it's lorping!",2,NA,16,0.53,0.5,NA,0.14,0.14,NA,NA,NA,0.214285714285714,0.0639349489795918,"group_means_one","unique_condition","look","varying_agent","varying","intransitive","direct_caused_action_parallel_actions","no","text","action_matching",2015
"8",44,"anjie","jin2015","https://www.ideals.illinois.edu/handle/2142/78440","verb","include","Jin, K. S. (2015)","results_text","8","coherent_intransitive_2","looking_duration","action","43","English",992.344,NA,59,"typically_developing","intransitive","noun_and_pronoun",NA,"fake_verb","video_person","video","person","direct_caused_action","parallel_actions","asynchronous","no","yes","mass",1,1,12,1,"she is pilking?","find pilking! where's pilking?",2,NA,16,0.55,0.5,NA,0.18,0.18,NA,NA,NA,0.277777777777778,0.0649112654320988,"group_means_one","unique_condition","look","varying_agent","varying","intransitive","direct_caused_action_parallel_actions","no","text","action_matching",2015
"9",50,"izzy","messenger2014","https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true","verb","include","Messenger, K., Yuan, S., & Fisher, C. (2015)","figure_2","1","same_transitive","looking_duration","action","49","English",684.9,NA,38,"typically_developing","transitive","noun_and_pronoun","noun","fake_verb","video_person","video","person","direct_caused_action","parallel_actions","asynchronous","no","yes","mass",1,2,16,2,"And Bill was blicking the duck.","Find X-ing!",2,NA,8,0.679780420860018,0.5,NA,0.14,0.21,NA,NA,NA,1.28414586328584,0.228064412387134,"group_means_one","unique_condition","look","varying_agent","varying","noun","direct_caused_action_parallel_actions","no","plot","action_matching",2014
"10",51,"izzy","messenger2014","https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true","verb","include","Messenger, K., Yuan, S., & Fisher, C. (2015)","figure_2","1","same_intransitive","looking_duration","action","50","English",684.9,NA,38,"typically_developing","intransitive","noun_and_pronoun",NA,"fake_verb","video_person","video","person","direct_caused_action","parallel_actions","asynchronous","no","yes","mass",1,2,16,2,"And Bill was blicking.","Find X-ing!",2,NA,8,0.62,0.5,NA,0.14,0.2,NA,NA,NA,0.857142857142857,0.170918367346939,"group_means_one","unique_condition","look","varying_agent","varying","intransitive","direct_caused_action_parallel_actions","no","plot","action_matching",2014
